(3/2, 59, 27)
(2, 64, 30)
(5/2, 67, 32)
(3, 67, 32)
(9/2, 66, 31)
(5, 64, 30)
(11/2, 63, 29)
(6, 69, 33)
(15/2, 66, 31)
(8, 64, 30)
(17/2, 63, 29)
(9, 64, 30)
(19/2, 67, 32)
(10, 71, 34)
(21/2, 76, 37)
(11, 79, 39)
(23/2, 78, 38)
(12, 75, 36)
(13, 76, 37)
(14, 71, 34)
(29/2, 76, 37)
(15, 76, 37)
(31/2, 75, 36)
(16, 78, 38)
(33/2, 72, 35)
(17, 71, 34)
(35/2, 69, 33)
(18, 69, 33)
(37/2, 67, 32)
(19, 71, 34)
(39/2, 67, 32)
(20, 66, 31)
(41/2, 64, 30)
(21, 64, 30)
(43/2, 63, 29)
(22, 66, 31)
(45/2, 60, 28)
(23, 59, 27)
(47/2, 57, 26)
(24, 55, 25)
(49/2, 59, 27)
(25, 64, 30)
(51/2, 67, 32)
(26, 66, 31)
(53/2, 64, 30)
(27, 72, 35)
(111/4, 71, 34)
(113/4, 69, 33)
(115/4, 67, 32)
(30, 67, 32)
(61/2, 66, 31)
(31, 66, 31)
(63/2, 67, 32)
(32, 66, 31)
(65/2, 64, 30)
(33, 71, 34)
(67/2, 69, 33)
(34, 67, 32)
(36, 67, 32)
(73/2, 66, 31)
(37, 67, 32)
(75/2, 66, 31)
(38, 64, 30)
(39, 63, 29)
(79/2, 66, 31)
(40, 64, 30)
(81/2, 67, 32)
(41, 66, 31)
(83/2, 69, 33)
(42, 71, 34)
(85/2, 69, 33)
(43, 72, 35)
(87/2, 71, 34)
(44, 76, 37)
(45, 66, 31)
(91/2, 69, 33)
(46, 67, 32)
(93/2, 71, 34)
(47, 69, 33)
(95/2, 72, 35)
(48, 71, 34)
(97/2, 76, 37)
(49, 75, 36)
(99/2, 78, 38)
(50, 76, 37)
(101/2, 79, 39)
(51, 79, 39)
(207/4, 78, 38)
(209/4, 76, 37)
(211/4, 75, 36)
(54, 78, 38)
(109/2, 76, 37)
(55, 74, 36)
(57, 76, 37)
(58, 79, 39)
(59, 84, 42)
(60, 88, 44)
(129/2, 76, 37)
(65, 79, 39)
(131/2, 78, 38)
(66, 76, 37)
(135/2, 64, 30)
(68, 67, 32)
(137/2, 66, 31)
(69, 64, 30)
(70, 64, 30)
(71, 64, 30)
(72, 71, 34)
(73, 66, 31)
(75, 64, 30)
(76, 64, 30)
(77, 64, 30)
(78, 69, 33)
(157/2, 66, 31)
(81, 64, 30)
(82, 64, 30)
(83, 64, 30)
(84, 76, 37)
(85, 72, 35)
(86, 71, 34)
(87, 69, 33)
(88, 66, 31)
(90, 66, 31)
(91, 67, 32)
(189/2, 69, 33)
(96, 76, 37)
(193/2, 72, 35)
(97, 71, 34)
(195/2, 69, 33)
(99, 67, 32)
(203/2, 69, 33)
(102, 78, 38)
(205/2, 75, 36)
(103, 72, 35)
(207/2, 71, 34)
(104, 69, 33)
(105, 67, 32)
(211/2, 79, 39)
(106, 78, 38)
(213/2, 76, 37)
(107, 74, 36)
(215/2, 72, 35)
(108, 81, 40)
(217/2, 72, 35)
(109, 81, 40)
(219/2, 72, 35)
