(0, 86, 43)
(3, 88, 44)
(9/2, 81, 40)
(6, 90, 45)
(15/2, 57, 26)
(8, 59, 27)
(17/2, 61, 28)
(9, 62, 29)
(39/4, 61, 28)
(21/2, 57, 26)
(11, 62, 29)
(23/2, 64, 30)
(12, 64, 30)
(13, 66, 31)
(14, 62, 29)
(29/2, 66, 31)
(31/2, 67, 32)
(16, 69, 33)
(33/2, 68, 32)
(17, 69, 33)
(35/2, 66, 31)
(18, 74, 36)
(37/2, 73, 35)
(19, 74, 36)
(21, 62, 29)
(21, 69, 33)
(21, 81, 40)
(43/2, 83, 41)
(45/2, 81, 40)
(24, 81, 40)
(51/2, 83, 41)
(53/2, 81, 40)
(27, 81, 40)
(57/2, 86, 43)
(30, 85, 42)
(63/2, 59, 27)
(32, 61, 28)
(65/2, 63, 29)
(33, 64, 30)
(67/2, 63, 29)
(34, 64, 30)
(69/2, 59, 27)
(35, 64, 30)
(71/2, 66, 31)
(36, 67, 32)
(73/2, 66, 31)
(37, 67, 32)
(75/2, 64, 30)
(38, 67, 32)
(77/2, 69, 33)
(39, 71, 34)
(79/2, 69, 33)
(40, 71, 34)
(81/2, 67, 32)
(41, 71, 34)
(83/2, 75, 36)
(42, 76, 37)
(85/2, 75, 36)
(43, 76, 37)
(45, 83, 41)
(93/2, 84, 42)
(95/2, 83, 41)
(48, 83, 41)
(99/2, 84, 42)
(101/2, 83, 41)
(51, 83, 41)
(105/2, 88, 44)
(54, 87, 43)
(111/2, 71, 34)
(57, 79, 39)
(117/2, 78, 38)
(119/2, 76, 37)
(60, 76, 37)
(123/2, 74, 36)
(125/2, 73, 35)
(127/2, 71, 34)
(66, 69, 33)
(133/2, 79, 39)
(68, 78, 38)
(69, 76, 37)
(72, 76, 37)
(73, 74, 36)
(76, 73, 35)
(77, 71, 34)
(78, 69, 33)
(159/2, 62, 29)
(80, 74, 36)
(163/2, 70, 33)
(165/2, 74, 36)
(84, 74, 36)
(171/2, 71, 34)
(87, 74, 36)
(177/2, 67, 32)
(177/2, 69, 33)
(179/2, 74, 36)
(90, 74, 36)
(183/2, 71, 34)
(93, 67, 32)
(96, 71, 34)
(195/2, 67, 32)
(99, 64, 30)
(102, 62, 29)
(207/2, 69, 33)
(105, 79, 39)
(213/2, 78, 38)
(215/2, 76, 37)
(108, 76, 37)
(109, 74, 36)
(110, 73, 35)
(221/2, 73, 35)
(112, 71, 34)
(113, 69, 33)
(114, 69, 33)
(231/2, 66, 31)
(233/2, 69, 33)
(117, 79, 39)
(237/2, 78, 38)
(239/2, 76, 37)
(120, 76, 37)
(243/2, 74, 36)
