(0, 78, 38)
(3/2, 76, 37)
(2, 76, 37)
(5/2, 76, 37)
(3, 76, 37)
(4, 74, 36)
(11/2, 73, 35)
(23/4, 74, 36)
(6, 76, 37)
(25/4, 74, 36)
(13/2, 73, 35)
(27/4, 71, 34)
(7, 70, 33)
(8, 78, 38)
(19/2, 76, 37)
(10, 76, 37)
(21/2, 76, 37)
(11, 76, 37)
(23/2, 74, 36)
(12, 74, 36)
(53/4, 73, 35)
(27/2, 76, 37)
(55/4, 73, 35)
(14, 71, 34)
(57/4, 74, 36)
(29/2, 73, 35)
(59/4, 66, 31)
(15, 71, 34)
(16, 66, 31)
(18, 68, 32)
(37/2, 68, 32)
(19, 71, 34)
(20, 66, 31)
(43/2, 66, 31)
(22, 68, 32)
(45/2, 68, 32)
(23, 70, 33)
(24, 78, 38)
(51/2, 76, 37)
(26, 76, 37)
(79/3, 76, 37)
(80/3, 76, 37)
(27, 74, 36)
(28, 74, 36)
(117/4, 73, 35)
(59/2, 76, 37)
(119/4, 73, 35)
(30, 71, 34)
(121/4, 74, 36)
(61/2, 73, 35)
(123/4, 66, 31)
(31, 71, 34)
(32, 66, 31)
(67/2, 66, 31)
(34, 68, 32)
(69/2, 68, 32)
(36, 66, 31)
(75/2, 66, 31)
(38, 68, 32)
(40, 78, 38)
(83/2, 76, 37)
(42, 76, 37)
(85/2, 76, 37)
(43, 74, 36)
(44, 74, 36)
(181/4, 73, 35)
(91/2, 76, 37)
(183/4, 73, 35)
(46, 71, 34)
(185/4, 74, 36)
(93/2, 73, 35)
(187/4, 66, 31)
(47, 71, 34)
(191/4, 74, 36)
(48, 73, 35)
(193/4, 70, 33)
(97/2, 66, 31)
(195/4, 73, 35)
(197/4, 67, 32)
(197/4, 74, 36)
(50, 76, 37)
(201/4, 73, 35)
(101/2, 69, 33)
(203/4, 76, 37)
(51, 78, 38)
(103/2, 78, 38)
(52, 79, 39)
(209/4, 78, 38)
(105/2, 79, 39)
(211/4, 78, 38)
(53, 79, 39)
(213/4, 78, 38)
(107/2, 79, 39)
(215/4, 78, 38)
(54, 76, 37)
(217/4, 73, 35)
(109/2, 71, 34)
(219/4, 70, 33)
(55, 71, 34)
(223/4, 74, 36)
(56, 73, 35)
(225/4, 70, 33)
(113/2, 66, 31)
(227/4, 73, 35)
(57, 74, 36)
(231/4, 74, 36)
(58, 76, 37)
(233/4, 73, 35)
(117/2, 69, 33)
(235/4, 76, 37)
(59, 78, 38)
(119/2, 71, 34)
(119/2, 78, 38)
(60, 79, 39)
(241/4, 78, 38)
(121/2, 79, 39)
(243/4, 78, 38)
(61, 79, 39)
(245/4, 78, 38)
(123/2, 79, 39)
(247/4, 78, 38)
(62, 76, 37)
(249/4, 73, 35)
(125/2, 74, 36)
(251/4, 69, 33)
(251/4, 71, 34)
(127/2, 69, 33)
(64, 79, 39)
(257/4, 78, 38)
(129/2, 79, 39)
(259/4, 78, 38)
(65, 79, 39)
(261/4, 78, 38)
(131/2, 79, 39)
(263/4, 78, 38)
(66, 76, 37)
(265/4, 73, 35)
(133/2, 74, 36)
(267/4, 71, 34)
(67, 69, 33)
(68, 76, 37)
(273/4, 73, 35)
(137/2, 74, 36)
(275/4, 71, 34)
(69, 69, 33)
(279/4, 73, 35)
(70, 76, 37)
(281/4, 73, 35)
(141/2, 74, 36)
(567/8, 69, 33)
(573/8, 69, 33)
(72, 74, 36)
(291/4, 73, 35)
(73, 71, 34)
(147/2, 69, 33)
(74, 68, 32)
(149/2, 69, 33)
(75, 68, 32)
(151/2, 69, 33)
(76, 74, 36)
(307/4, 73, 35)
(77, 73, 35)
(309/4, 71, 34)
(155/2, 71, 34)
(311/4, 69, 33)
(78, 68, 32)
(157/2, 69, 33)
(79, 68, 32)
(159/2, 69, 33)
(80, 74, 36)
(323/4, 73, 35)
(81, 71, 34)
(163/2, 69, 33)
(82, 79, 39)
(331/4, 78, 38)
(83, 76, 37)
(167/2, 75, 36)
(84, 76, 37)
(339/4, 75, 36)
(85, 76, 37)
(341/4, 75, 36)
(86, 76, 37)
(349/4, 74, 36)
(175/2, 73, 35)
(351/4, 71, 34)
(88, 69, 33)
(353/4, 74, 36)
(177/2, 66, 31)
(355/4, 71, 34)
(89, 69, 33)
(357/4, 67, 32)
(179/2, 64, 30)
(359/4, 66, 31)
(90, 62, 29)
(361/4, 74, 36)
(181/2, 71, 34)
(363/4, 69, 33)
(91, 68, 32)
(183/2, 69, 33)
(369/4, 74, 36)
(185/2, 71, 34)
(371/4, 69, 33)
(93, 68, 32)
(187/2, 69, 33)
(377/4, 74, 36)
(189/2, 71, 34)
(379/4, 69, 33)
(95, 68, 32)
(191/2, 69, 33)
(96, 66, 31)
(193/2, 67, 32)
(97, 64, 30)
(195/2, 66, 31)
(98, 62, 29)
(393/4, 86, 43)
(197/2, 83, 41)
(395/4, 81, 40)
(99, 79, 39)
(199/2, 81, 40)
(401/4, 86, 43)
(201/2, 83, 41)
(403/4, 81, 40)
(101, 80, 39)
(203/2, 81, 40)
(409/4, 85, 42)
(205/2, 79, 39)
(411/4, 78, 38)
(413/4, 79, 39)
(104, 77, 37)
(417/4, 78, 38)
(105, 75, 36)
(211/2, 76, 37)
(425/4, 83, 41)
(213/2, 79, 39)
(427/4, 78, 38)
(107, 75, 36)
(215/2, 76, 37)
(433/4, 83, 41)
(869/8, 78, 38)
(871/8, 78, 38)
(875/8, 76, 37)
(441/4, 66, 31)
(221/2, 71, 34)
(443/4, 73, 35)
(111, 71, 34)
(445/4, 69, 33)
(223/2, 79, 39)
(112, 78, 38)
(449/4, 82, 40)
(225/2, 83, 41)
(451/4, 78, 38)
(113, 77, 37)
(453/4, 80, 39)
(227/2, 83, 41)
(455/4, 86, 43)
(114, 85, 42)
(457/4, 83, 41)
(229/2, 82, 40)
(459/4, 83, 41)
(115, 85, 42)
(461/4, 83, 41)
(231/2, 82, 40)
(463/4, 91, 46)
(116, 90, 45)
(465/4, 89, 44)
(233/2, 90, 45)
(467/4, 82, 40)
(117, 83, 41)
(469/4, 82, 40)
(235/2, 83, 41)
(471/4, 77, 37)
(118, 78, 38)
(473/4, 76, 37)
(237/2, 75, 36)
(475/4, 81, 40)
(119, 80, 39)
(477/4, 74, 36)
(239/2, 73, 35)
(479/4, 79, 39)
(120, 73, 35)
(481/4, 79, 39)
(241/2, 78, 38)
(483/4, 76, 37)
(121, 67, 32)
(121, 78, 38)
(485/4, 69, 33)
(243/2, 71, 34)
(487/4, 76, 37)
(122, 70, 33)
(489/4, 76, 37)
(245/2, 74, 36)
(491/4, 73, 35)
(123, 74, 36)
(247/2, 74, 36)
(124, 74, 36)
(995/8, 67, 32)
(997/8, 74, 36)
(997/8, 74, 36)
(1001/8, 64, 30)
(1005/8, 80, 39)
(126, 66, 31)
(126, 67, 32)
(126, 69, 33)
(505/4, 74, 36)
(253/2, 64, 30)
(127, 78, 38)
(509/4, 83, 41)
(255/2, 86, 43)
(513/4, 67, 32)
(257/2, 70, 33)
(515/4, 73, 35)
(129, 76, 37)
(517/4, 79, 39)
(259/2, 82, 40)
(519/4, 85, 42)
(521/4, 67, 32)
(261/2, 70, 33)
(523/4, 73, 35)
(131, 76, 37)
(525/4, 79, 39)
(263/2, 82, 40)
(527/4, 85, 42)
(529/4, 66, 31)
(265/2, 68, 32)
(531/4, 69, 33)
(133, 70, 33)
(533/4, 71, 34)
