(0, 58, 27)
(1/4, 60, 28)
(1/2, 58, 27)
(3/4, 55, 25)
(1, 63, 30)
(6, 68, 33)
(7, 67, 32)
(8, 58, 27)
(33/4, 60, 28)
(17/2, 58, 27)
(35/4, 55, 25)
(9, 63, 30)
(14, 72, 35)
(15, 70, 34)
(16, 63, 30)
(65/4, 65, 31)
(33/2, 63, 30)
(67/4, 58, 27)
(17, 67, 32)
(71/4, 65, 31)
(18, 65, 31)
(20, 65, 31)
(81/4, 67, 32)
(41/2, 65, 31)
(83/4, 62, 29)
(21, 70, 34)
(87/4, 69, 33)
(22, 69, 33)
(24, 69, 33)
(97/4, 70, 34)
(49/2, 69, 33)
(99/4, 65, 31)
(25, 75, 37)
(103/4, 74, 36)
(26, 74, 36)
(107/4, 79, 39)
(27, 79, 39)
(111/4, 77, 38)
(28, 77, 38)
(115/4, 84, 42)
(29, 84, 42)
(119/4, 82, 41)
(30, 82, 41)
(63/2, 79, 39)
(32, 75, 37)
(65/2, 72, 35)
(33, 70, 34)
(67/2, 67, 32)
(34, 63, 30)
(69/2, 60, 28)
(35, 58, 27)
(71/2, 63, 30)
(36, 62, 29)
(73/2, 63, 30)
(37, 65, 31)
(38, 58, 27)
(38, 62, 29)
(38, 70, 34)
(40, 58, 27)
(161/4, 60, 28)
(81/2, 58, 27)
(163/4, 55, 25)
(41, 61, 29)
(46, 65, 31)
(47, 64, 30)
(48, 58, 27)
(193/4, 60, 28)
(97/2, 58, 27)
(195/4, 55, 25)
(49, 61, 29)
(54, 68, 33)
(55, 67, 32)
(56, 64, 30)
(225/4, 65, 31)
(113/2, 64, 30)
(227/4, 60, 28)
(57, 70, 34)
(231/4, 68, 33)
(58, 68, 33)
(60, 65, 31)
(241/4, 67, 32)
(121/2, 65, 31)
(243/4, 62, 29)
(61, 72, 35)
(247/4, 70, 34)
(62, 70, 34)
(64, 67, 32)
(257/4, 68, 33)
(129/2, 67, 32)
(259/4, 63, 30)
(65, 73, 36)
(263/4, 72, 35)
(66, 72, 35)
(267/4, 75, 37)
(67, 75, 37)
(271/4, 74, 36)
(68, 74, 36)
(275/4, 77, 38)
(69, 77, 38)
(279/4, 75, 37)
(70, 75, 37)
(72, 70, 34)
(73, 70, 34)
(147/2, 68, 33)
(74, 64, 30)
(149/2, 65, 31)
(75, 65, 31)
(76, 65, 31)
(77, 75, 37)
(159/2, 73, 36)
(80, 72, 35)
(161/2, 70, 34)
(81, 70, 34)
(163/2, 68, 33)
(82, 64, 30)
(165/2, 65, 31)
(83, 65, 31)
(84, 65, 31)
(85, 75, 37)
(175/2, 73, 36)
(88, 72, 35)
(177/2, 70, 34)
(89, 72, 35)
(181/2, 72, 35)
(91, 74, 36)
(183/2, 75, 37)
(92, 77, 38)
(185/2, 79, 39)
(93, 77, 38)
(187/2, 75, 37)
(94, 74, 36)
(189/2, 72, 35)
(95, 75, 37)
(191/2, 72, 35)
(96, 69, 33)
(193/2, 70, 34)
(97, 70, 34)
(197/2, 70, 34)
(99, 75, 37)
(199/2, 72, 35)
(100, 69, 33)
(201/2, 70, 34)
(101, 70, 34)
(205/2, 70, 34)
(103, 75, 37)
(207/2, 72, 35)
(104, 69, 33)
(209/2, 70, 34)
(105, 70, 34)
(211/2, 67, 32)
(106, 62, 29)
(213/2, 63, 30)
(107, 68, 33)
(215/2, 65, 31)
(108, 60, 28)
(217/2, 62, 29)
(109, 63, 30)
(219/2, 63, 30)
(110, 67, 32)
(221/2, 70, 34)
(111, 75, 37)
(223/2, 72, 35)
(112, 69, 33)
(225/2, 70, 34)
(113, 70, 34)
(229/2, 70, 34)
(115, 75, 37)
(231/2, 72, 35)
(116, 69, 33)
(233/2, 70, 34)
(117, 70, 34)
(237/2, 70, 34)
(119, 75, 37)
(239/2, 72, 35)
(120, 69, 33)
(241/2, 70, 34)
(121, 70, 34)
(243/2, 67, 32)
(122, 62, 29)
(245/2, 63, 30)
(123, 68, 33)
(247/2, 65, 31)
(124, 60, 28)
(249/2, 62, 29)
(125, 63, 30)
(128, 65, 31)
(513/4, 67, 32)
(257/2, 65, 31)
(515/4, 62, 29)
(129, 70, 34)
(130, 70, 34)
(521/4, 72, 35)
(261/2, 70, 34)
(523/4, 67, 32)
(131, 70, 34)
(132, 77, 38)
(529/4, 79, 39)
(265/2, 77, 38)
(531/4, 70, 34)
(133, 79, 39)
(136, 77, 38)
(545/4, 79, 39)
